Phoneme	Consonantal	Sonorant	Syllabic	Occlusive	Nasal	Plosive	Affricate	Strident	Sibilant	Obstruent	Fricative	Continuant	Vocoid	Vowel	Approximant	Semivowel	Vibrant	Trill	Tap	Lateral	Liquid	Rhotic	Labial	Labiodental	Dental	Alveolar	Retroflex	Postalveolar	Palatal	Velar	Uvular	Pharyngeal	Glottal	Front	Central	Back	High	Mid	Low	Round	Anterior	Distributed	Tense	ATR	Voice	SG	CG
a		+	+									+	+	+																					+				+		0	0			+		
b	+			+		+				+													+													0	0	0	0		0	0	0	0	+		
c	+			+		+				+																			+								+			0	+			0			
d	+			+		+				+																+										0	0	0	0	0	+		0	0	+		
e		+	+									+	+	+																				+				+			0	0	+	+	+		
f	+							+		+	+	+												+												0	0	0	0		0	0	0	0			
h																																															
i		+	+									+	+	+																				+			+				0	0	+	+	+		
j		+										+	+		+	+													+								+				0	0		0	+		
k	+			+		+				+																				+						+	+			0	0	0		0			
l	+	+										+	+		+					+	+					+										0	0	0	0	0	+		0	0	+		
m	+	+		+	+																		+													0	0	0	0		0	0	0	0	+		
n	+	+		+	+																					+										0	0	0	0	0	+		0	0	+		
o		+	+									+	+	+																						+		+		+	0	0	+	+	+		
p	+			+		+				+													+													0	0	0	0		0	0	0	0			
q	+			+		+				+																					+					+				0	0	0		0			
r	+	+															+	+			+	+				+										0	0	0	0	0	+		0	0	+		
s	+							+	+	+	+	+														+										0	0	0	0	0	+		0	0			
t	+			+		+				+																+										0	0	0	0	0	+		0	0			
u		+	+									+	+	+																						+	+			+	0	0	+	+	+		
v	+							+		+	+	+												+												0	0	0	0		0	0	0	0	+		
w		+										+	+		+	+							+							+						+	+			+	0	0		0	+		
x	+									+	+	+																		+						+	+			0	0	0		0			
y		+	+									+	+	+																				+			+			+	0	0	+	+	+		
z	+							+	+	+	+	+														+										0	0	0	0	0	+		0	0	+		
æ		+	+									+	+	+																				+					+		0	0	+		+		
ç	+									+	+	+																	+								+			0		+		0			
ð	+									+	+	+													+											0	0	0	0	0	+		0	0	+		
ø		+	+									+	+	+																				+				+		+	0	0	+	+	+		
ħ																																															
ŋ	+	+		+	+																									+						+	+			0	0	0		0	+		
œ		+	+									+	+	+																				+			+			+	0	0			+		
ȡ																																															
ȴ																																															
ȵ																																															
ȶ																																															
ɐ		+	+									+	+	+																					+				+	+	0	0	+		+		
ɑ		+	+									+	+	+																						+			+		0	0		+	+		
ɒ		+	+									+	+	+																						+			+	+	0	0		+	+		
ɓ																																															
ɔ		+	+									+	+	+																						+		+		+	0	0			+		
ɕ																																															
ɖ																																															
ɗ																																															
ɘ		+	+									+	+	+																					+			+			0	0	+	+	+		
ə		+	+									+	+	+																					+			+		+	0	0	+		+		
ɛ		+	+									+	+	+																				+			+				0	0			+		
ɜ		+	+									+	+	+																					+			+			0	0		+	+		
ɞ		+	+									+	+	+																					+			+		+	0	0		+	+		
ɟ	+			+		+				+																			+								+			0	+			0	+		
ɠ																																															
ɡ	+			+		+				+																				+						+	+			0	0	0		0	+		
ɢ	+			+		+				+																					+					+				0	0	0		0	+		
ɣ	+									+	+	+																		+						+	+			0	0	0		0	+		
ɤ		+	+									+	+	+																						+		+			0	0	+	+	+		
ɥ		+										+	+		+	+							+						+								+			+	0	0		0	+		
ɦ																																															
ɧ																																															
ɨ		+	+									+	+	+																					+		+				0	0	+	+	+		
ɪ		+	+									+	+	+																				+			+				0	0			+		
ɬ	+									+	+	+								+	+					+										0	0	0	0	0	+		0	0		+	
ɮ	+									+	+	+								+	+					+										0	0	0	0	0	+		0	0	+		
ɯ		+	+									+	+	+																						+	+				0	0	+		+		
ɰ		+										+	+		+	+														+						+	+				0	0		0	+		
ɱ																																															
ɲ	+	+		+	+																								+								+			0	0	0		0	+		
ɳ	+	+		+	+																						+											0		0				0	+		
ɴ	+	+		+	+																										+					+				0	0	0		0	+		
ɵ		+	+									+	+	+																					+			+		+	0	0	+	+	+		
ɶ		+	+									+	+	+																					+				+	+	0	0			+		
ɸ	+									+	+	+											+													0	0	0	0		0	0	0	0			
ɹ	+	+										+	+								+	+				+										0	0	0	0	0	+		0	0	+		
ɻ																																															
ɽ																																															
ɾ																																															
ʀ	+	+															+	+			+	+									+					+				+	0	0		0	+		
ʁ	+									+	+	+									+	+									+					+				0	0	0		0	+		
ʂ																																															
ʃ	+							+	+	+	+	+																+								0	0	0	0	0		+	0	0			
ʄ																																															
ʈ																																															
ʉ		+	+									+	+	+																					+		+			+	0	0	+	+	+		
ʊ		+	+									+	+	+																						+	+			+	0	0		+	+		
ʋ																																															
ʌ		+	+									+	+	+																						+		+			0	0			+		
ʍ		+										+	+		+	+							+							+						+	+			+	0	0		0	+		
ʎ	+	+										+	+		+					+	+								+								+			0	0	0		0	+		
ʏ		+	+									+	+	+																				+			+			+	0	0			+		
ʐ																																															
ʑ																																															
ʒ	+							+	+	+	+	+																+								0	0	0	0	0		+	0	0	+		
ʔ																																															
ʕ																																															
ʙ																																															
ʛ																																															
ʜ																																															
ʝ	+									+	+	+																	+								+			0		+		0	+		
ʟ																																															
ʡ																																															
ʢ																																															
β	+									+	+	+											+													0	0	0	0		0	0	0	0	+		
θ	+									+	+	+													+											0	0	0	0	0	+		0	0			
χ	+							+		+	+	+																			+					+				0	0	0		0			
ⱱ																																															
ꞎ																																															
